month,year,count
10,2013,1589
11,2013,1323
12,2013,1270
1,2014,1271
2,2014,1192
3,2014,1484
4,2014,1535
5,2014,1957
6,2014,1795
7,2014,1888
8,2014,1645
9,2014,1698
10,2014,1530
11,2014,1372
12,2014,1289
1,2015,1198
2,2015,1119
3,2015,1346
4,2015,1543
5,2015,2094
6,2015,2189
7,2015,1635
8,2015,1718
9,2015,1591
10,2015,1740
11,2015,1411
12,2015,1128
1,2016,1216
2,2016,1194
3,2016,1419
4,2016,1560
5,2016,2037
6,2016,1634
7,2016,1409
8,2016,1653
9,2016,1539
10,2016,1387
11,2016,1337
12,2016,1290
1,2017,1216
2,2017,1202
3,2017,1360
4,2017,1482
5,2017,1889
6,2017,1855
7,2017,1618
8,2017,1493
9,2017,1679
10,2017,1428
11,2017,1186
12,2017,1155
1,2018,1123
2,2018,1044
3,2018,1324
4,2018,1388
5,2018,1745
6,2018,1722
7,2018,1666
8,2018,1399
9,2018,1621
10,2018,1574
11,2018,1238
12,2018,1135
1,2019,1240
2,2019,1131
3,2019,1502
4,2019,1621
5,2019,2132
6,2019,2064
7,2019,1987
8,2019,1844
9,2019,1844
10,2019,1727
11,2019,1436
12,2019,1199
1,2020,1215
2,2020,1145
3,2020,882
4,2020,313
5,2020,483
6,2020,848
7,2020,780
8,2020,850
9,2020,872
10,2020,874
11,2020,676
12,2020,647
1,2021,567
2,2021,387
3,2021,734
4,2021,894
5,2021,1060
6,2021,1317
7,2021,1348
8,2021,1259
9,2021,1205
10,2021,1263
11,2021,1017
12,2021,992
1,2022,928
2,2022,723
3,2022,896
4,2022,1067
5,2022,1396
6,2022,1247
7,2022,1240
8,2022,1166
9,2022,753
10,2022,680
